Index,Highest Charting Position,Streams,Artist Followers,Genre,Tempo,Duration (ms)
201,66,8859168.0,6837946.0,['brooklyn drill'],143.971,215000.0
202,87,7371935.0,6837946.0,['brooklyn drill'],99.772,156000.0
203,116,6464206.0,6430522.0,"['melodic rap', 'rap', 'trap']",187.815,181714.0
204,127,6238351.0,6837946.0,['brooklyn drill'],145.39600000000002,120828.0
205,129,6161664.0,6837946.0,['brooklyn drill'],135.921,123549.0
206,76,5883145.0,2008516.0,['uk hip hop'],87.18799999999999,193733.0
207,150,5822266.0,6837946.0,['brooklyn drill'],78.082,249231.0
208,159,5702636.0,6837946.0,['brooklyn drill'],143.04399999999998,208112.0
209,22,5696113.0,6777818.0,"['hip hop', 'rap']",142.347,121573.0
210,105,5627519.0,208554.0,"['german alternative rap', 'german drill', 'german hip hop', 'german trap']",91.99600000000001,138533.0
211,17,5383125.0,323203.0,['london rap'],141.02,278085.0
212,180,5335271.0,6837946.0,['brooklyn drill'],71.696,150449.0
213,13,5288927.0,2123734.0,"['latin', 'reggaeton', 'trap latino']",171.959,182496.0
214,175,5242097.0,127364.0,"['italian hip hop', 'italian pop']",169.94099999999997,220235.0
215,20,5235088.0,152226.0,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",117.948,157606.0
216,15,5203319.0,1250353.0,[],75.051,212496.0
217,193,5173308.0,5178156.0,"['neo mellow', 'pop rock', 'singer-songwriter']",122.008,249080.0
218,71,5150909.0,35285425.0,"['modern rock', 'pop', 'rock']",93.98899999999999,244005.0
219,79,5116589.0,2586114.0,"['funk carioca', 'funk ostentacao', 'funk paulista']",124.993,276480.0
220,122,5110475.0,411579.0,"['pop rap', 'rap', 'trap']",134.997,224042.0
221,75,5097187.0,35285425.0,"['modern rock', 'pop', 'rock']",124.912,175644.0
222,22,6318660.0,27142474.0,"['dance pop', 'pop', 'uk pop']",134.01,165507.0
223,4,6142975.0,37106176.0,"['k-pop', 'k-pop boy group']",81.068,207481.0
224,28,6111108.0,8758283.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",93.02,208631.0
225,17,5588217.0,28909504.0,"['dance pop', 'pop', 'post-teen pop']",149.903,186088.0
226,164,5454994.0,386757.0,"['hip hop', 'pop rap', 'queens hip hop', 'rap', 'sudanese pop', 'underground hip hop']",128.012,204434.0
227,22,5435614.0,6266514.0,['pop'],77.253,209560.0
228,169,5269757.0,1097789.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",164.81900000000002,148228.0
229,80,5259503.0,9987114.0,"['k-pop', 'k-pop girl group']",97.09700000000001,210573.0
230,184,5186354.0,151870.0,"['escape room', 'r&b', 'rap latina', 'trap queen']",81.02600000000001,229601.0
231,187,5173178.0,3507622.0,"['contemporary country', 'country road']",113.32600000000001,153338.0
232,183,5068677.0,2166191.0,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",172.024,202307.0
233,71,5041120.0,608109.0,"['funk carioca', 'funk paulista', 'rave funk']",164.081,172973.0
234,95,5036030.0,26769304.0,"['latin', 'reggaeton', 'reggaeton colombiano']",100.00399999999999,241659.0
235,184,4975786.0,6080597.0,"['puerto rican pop', 'trap latino']",179.87900000000002,208292.0
236,141,4954679.0,18191658.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",95.01,244960.0
